election,0,theguardian,2024-04-13 16:00:04+03:00
war,1,theguardian,2024-04-13 16:00:04+03:00
economy,0,theguardian,2024-04-13 16:00:04+03:00
election,0,theguardian,2024-04-13 16:00:04+03:00
war,1,theguardian,2024-04-13 16:00:04+03:00
economy,0,theguardian,2024-04-13 16:00:04+03:00
election,0,theguardian,2024-04-13 12:39:57+03:00
war,1,theguardian,2024-04-13 12:39:57+03:00
economy,0,theguardian,2024-04-13 12:39:57+03:00
election,0,theguardian,2024-04-13 11:44:43+03:00
war,1,theguardian,2024-04-13 11:44:43+03:00
economy,0,theguardian,2024-04-13 11:44:43+03:00
election,0,theguardian,2024-04-13 19:11:29+03:00
war,1,theguardian,2024-04-13 19:11:29+03:00
economy,0,theguardian,2024-04-13 19:11:29+03:00
election,0,theguardian,2024-04-13 15:12:22+03:00
war,1,theguardian,2024-04-13 15:12:22+03:00
economy,0,theguardian,2024-04-13 15:12:22+03:00
election,0,theguardian,2024-04-13 14:38:15+03:00
war,1,theguardian,2024-04-13 14:38:15+03:00
economy,0,theguardian,2024-04-13 14:38:15+03:00
election,0,theguardian,2024-04-13 13:00:20+03:00
war,1,theguardian,2024-04-13 13:00:20+03:00
economy,0,theguardian,2024-04-13 13:00:20+03:00
election,0,theguardian,2024-04-13 13:00:20+03:00
war,1,theguardian,2024-04-13 13:00:20+03:00
economy,0,theguardian,2024-04-13 13:00:20+03:00
election,0,theguardian,2024-04-13 13:00:20+03:00
war,1,theguardian,2024-04-13 13:00:20+03:00
economy,0,theguardian,2024-04-13 13:00:20+03:00
election,0,theguardian,2024-04-13 17:35:12+03:00
war,1,theguardian,2024-04-13 17:35:12+03:00
economy,0,theguardian,2024-04-13 17:35:12+03:00
election,0,theguardian,2024-04-14 11:00:04+03:00
war,2,theguardian,2024-04-14 11:00:04+03:00
economy,0,theguardian,2024-04-14 11:00:04+03:00
election,0,theguardian,2024-04-14 07:05:59+03:00
war,2,theguardian,2024-04-14 07:05:59+03:00
economy,0,theguardian,2024-04-14 07:05:59+03:00
election,0,theguardian,2024-04-13 22:07:51+03:00
war,1,theguardian,2024-04-13 22:07:51+03:00
economy,0,theguardian,2024-04-13 22:07:51+03:00
election,0,theguardian,2024-04-14 03:04:07+03:00
war,1,theguardian,2024-04-14 03:04:07+03:00
economy,0,theguardian,2024-04-14 03:04:07+03:00
election,0,theguardian,2024-04-14 09:12:37+03:00
war,1,theguardian,2024-04-14 09:12:37+03:00
economy,0,theguardian,2024-04-14 09:12:37+03:00
election,0,theguardian,2024-04-14 05:01:37+03:00
war,1,theguardian,2024-04-14 05:01:37+03:00
economy,0,theguardian,2024-04-14 05:01:37+03:00
